perceelnr;Geomorfologie;Geom_code;Bodem profiel;Bo_code;GWT;Landgebruik;deelgebied;Hellingperc;helling_deg;L_parcel;Buisdr;Sloot_Greppel;max_L_tot_sloot;Boring_ID;D_aquifer;kD_aquifer;s_aquifer;c_aquitard;spreidingslengte;Perc_spreiding;perc_Spr_cor
163;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;grasland agrarisch;31;0;0;139;1;Greppel;57;B35A0311;1.55;3.03;;1075;63.3;111;100
164;Vlakte van grondmorene;2M11dH;Beekeerdgronden;pZg23;II;Bebouwing;31;0.4;0.229181896;95;0;Greppel;48;B35A0310;1.8;0.48;;1075;56.5;118;100
165;Vlakte van grondmorene;2M11dH;Veldpodzolgronden;Hn21;III;grasland agrarisch;31;-0.1;0.05729576;193;0;Greppel;50;B35A0310;1.8;0.48;;1075;56.5;113;100
166;Vlakte van grondmorene;2M11dH;Veldpodzolgronden;Hn21;III;grasland agrarisch;31;-0.1;0.05729576;322;0;Greppel;44;B35A0310;1.8;0.48;;1075;56.5;129;100
167;Vlakte van grondmorene;2M11dH;Veldpodzolgronden;Hn21;III;grasland agrarisch;31;-0.1;0.05729576;390;0;Greppel;72;B35A0310;1.8;0.48;;1075;56.5;79;79
168;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;loofbos;31;0;0;120;0;Sloot;55;B35A0320;3;1.8;;1075;98.9;180;100
169;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;Bebouwing;31;0;0;18;0;Sloot;20;B35A0320;3;1.8;;1075;98.9;494;100
170;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;Bebouwing;31;-0.1;0.05729576;120;0;Greppel;36;B35A0026;3.8;1.2;;1075;81;225;100
171;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;grasland agrarisch;31;-0.1;0.05729576;278;0;Greppel;29;B35A0026;3.8;1.2;;1075;81;279;100
172;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;Bebouwing;31;-0.7;0.401063906;102;0;Sloot;55;B35A0026;3.8;1.8;;1075;81;147;100
173;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;Bebouwing;31;-0.3;0.171886823;60;0;Greppel;40;B35A0026;3.8;1.2;;1075;81;202;100
174;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;grasland agrarisch;31;0.4;0.229181896;153;0;Greppel;41;B35A0026;3.8;1.2;;1075;81;197;100
175;Beekdalbodem;22R42L;Veldpodzolgronden;Hn21;III;grasland overig;31;0.1;0.05729576;146;0;Greppel;31;B35A0026;3.8;1.2;;1075;81;261;100
176;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;Bebouwing;31;0.4;0.229181896;36;0;Greppel;50;B35A0026;3.8;1.2;;1075;81;162;100
177;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;grasland overig;31;0;0;224;0;Greppel;53;B35A0311;1.55;3.03;;1075;63.3;119;100
