perceelnr;Geomorfologie;Geom_code;Bodem profiel;Bo_code;GWT;Landgebruik;deelgebied;Hellingperc;helling_deg;L_parcel;Buisdr;Sloot_Greppel;max_L_tot_sloot;Boring_ID;D_aquifer;kD_aquifer;s_aquifer;c_aquitard;spreidingslengte;Perc_spreiding;perc_Spr_cor
33;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;V;grasland overig;15;-0.6;0.343770552;159;0;Greppel;80;B35A0253;0.3;0.45;;1075;22.7;28;28
34;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;V;grasland agrarisch;36;-1.4;0.802088513;64;0;Sloot;95;B35A0253;0.3;0.45;;1075;22.7;24;24
35;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;V;loofbos;36;-1.4;0.802088513;37;0;Sloot;40;B35A0253;0.3;0.45;;1075;22.7;57;57
36;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland agrarisch;15;-0.2;0.114591406;721;1;Greppel;50;B35A0229;1;2.95;;1075;61.1;122;100
37;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;V;grasland agrarisch;4;-0.7;0.401063906;587;0;Greppel;181;B35A0229;1;2.95;;1075;61.1;34;34
38;Droogdal;22R21ydl;Gooreerdgronden;pZn23x;III;loofbos;15;0;0;135;0;Sloot;38;B35A1241;1;0.6;;1075;26.3;69;69
39;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;V;grasland agrarisch;15;-0.4;0.229181896;305;0;Greppel;65;B35A0218;0.6;0.9;;1075;32.2;49;49
40;Storthopen ;4L91;Veldpodzolgronden;Hn21x;V;grasland agrarisch;4;0;0;166;0;Greppel;66;B35A0972;1.5;1.2;;1075;50.9;77;77
41;Daluitspoelingswaaier;4G21ydl;Gooreerdgronden;pZn23x;III;Bebouwing;4;0;0;89;0;Greppel;75;B35A0226;2.4;0.48;;1075;40.7;54;54
42;Daluitspoelingswaaier;4G21ydl;Gooreerdgronden;pZn23x;III;grasland agrarisch;4;-0.22;0.126050512;160;0;Greppel;67;B35A0226;2.4;0.48;;1075;40.7;61;61
43;Droogdal;22R21ydl;Veldpodzolgronden;Hn21;V*;grasland agrarisch;4;-0.6;0.343770552;386;0;Sloot;102;B35A0265;2.9;3.3;;1075;82;80;80
44;Droogdal;22R21ydl;Veldpodzolgronden;Hn21x;V;grasland agrarisch;4;-0.6;0.343770552;390;0;Sloot;111;B35A0229;1;3.25;;1075;61.1;55;55
45;Droogdal;22R21ydl;Zeer ondiepe keileem, potklei, enz;KX;III;loofbos;36;-0.6;0.343770552;204;0;Sloot;126;B35A0217;0.3;0.45;;1075;22.7;18;18
46;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21;V*;grasland agrarisch;36;-1.2;0.687516355;349;0;Greppel;81;B35A0254;0.7;2.05;;1075;48.6;60;60
47;Droogdal;22R21ydl;Zeer ondiepe keileem, potklei, enz;KX;III;grasland agrarisch;36;-1;0.572938698;198;0;Greppel;34;B35A0217;0.3;0.45;;1075;22.7;67;67
48;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;V;grasland agrarisch;36;-0.9;0.515648093;314;0;Sloot;146;B35A0217;0.3;0.45;;1075;22.7;16;16
49;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;V;Bebouwing;36;-1;0.572938698;137;0;Greppel;80;B35A0260;0.1;0.15;;1075;13.1;16;16
50;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;V;grasland agrarisch;36;-1.2;0.687516355;112;0;Greppel;65;B35A0260;0.1;0.15;;1075;13.1;20;20
51;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland agrarisch;36;-0.3;0.171886823;378;0;Greppel;115;B35A0251;0.3;0.45;;1075;22.7;20;20
52;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;gemengd bos;36;-0.3;0.171886823;196;0;Greppel;104;B35A0251;0.3;0.45;;1075;22.7;22;22
53;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;Bebouwing;36;-0.3;0.171886823;28;0;Greppel;97;B35A0251;0.3;0.45;;1075;22.7;23;23
54;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX ;V;loofbos;36;-0.1;0.05729576;152;0;Greppel;45;B35A1166;0.1;0.15;;1075;13.1;29;29
55;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland agrarisch;36;-0.4;0.229181896;435;0;Greppel;112;B35A0251;0.3;0.45;;1075;22.7;20;20
56;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;III;grasland agrarisch;36;-0.9;0.515648093;345;0;Greppel;170;B35A0260;0.1;0.15;;1075;13.1;8;8
57;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;V;Bebouwing;36;0.1;0.05729576;135;0;Greppel;108;B35A1166;0.1;0.15;;1075;13.1;12;12
58;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX ;V;grasland overig;36;-0.2;0.114591406;69;0;Greppel;108;B35A1166;0.1;0.15;;1075;13.1;12;12
59;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX ;V;grasland agrarisch;36;-0.7;0.401063906;288;0;Greppel;89;B35A0257;0.9;1.2;;1075;39.4;44;44
60;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;Bebouwing;36;-1.3;0.744803178;47;0;Greppel;36;B35A0289;0.85;3.2;;1075;62.5;174;100
61;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland agrarisch;1;-0.4;0.229181896;285;0;Greppel;33;B35A0289;0.85;3.2;;1075;62.5;189;100
62;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland agrarisch;1;0;0;140;0;Greppel;87;B35A0289;0.85;3.2;;1075;62.5;72;72
63;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland agrarisch;1;-0.7;0.401063906;137;0;Greppel;50;B35A0289;0.85;3.2;;1075;62.5;125;100
64;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX ;V;loofbos;36;-0.5;0.28647651;136;0;Greppel;94;B35A0249;0.4;0.6;;1075;26.3;28;28
65;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX ;V;grasland agrarisch;36;-0.6;0.343770552;304;0;Greppel;71;B35A0257;0.9;1.2;;1075;39.4;55;55
66;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland agrarisch;36;-0.8;0.458356458;266;0;Greppel;74;B35A1240;0.8;1.2;;1075;37.1;50;50
67;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;III;grasland agrarisch;36;-1.2;0.687516355;254;0;Greppel;45;B35A0256;0.4;0.6;;1075;26.3;58;58
68;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;Bebouwing;36;-1;0.572938698;89;0;Greppel;54;B35A1240;0.8;1.2;;1075;37.1;69;69
69;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;III;grasland agrarisch;36;-1.5;0.859372244;42;0;Greppel;57;B35A1339;0.8;1.2;;1075;37.1;65;65
70;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;III;grasland agrarisch;36;-0.5;0.28647651;82;0;Greppel;38;B35A1339;0.8;1.2;;1075;37.1;98;98
71;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;III;Bebouwing;36;-0.5;0.28647651;309;0;Greppel;82;B35A1339;0.8;1.2;;1075;37.1;45;45
72;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;III;grasland agrarisch;36;-1.4;0.802088513;177;0;Greppel;62;B35A0256;0.4;0.6;;1075;26.3;42;42
73;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21;V*;grasland agrarisch;36;-0.9;0.515648093;527;1;Greppel;213;B35A0258;0.4;0.6;;1075;26.3;12;12
74;Daluitspoelingswaaier;4G21ydl;Veldpodzolgronden;Hn21;V*;grasland agrarisch;17;-0.8;0.458356458;306;0;Greppel;56;B35A0266;1.1;3.2;;1075;71.1;127;100
75;Daluitspoelingswaaier;4G21ydl;Veldpodzolgronden;Hn21;VI;loofbos;17;0;0;231;0;Greppel;45;B35A0023;3.95;1.2;;1075;82.5;183;100
76;Daluitspoelingswaaier;4G21ydl;Veldpodzolgronden;Hn21;III;grasland overig;17;-0.2;0.114591406;220;0;Greppel;82;B35A0023;3.95;1.2;;1075;82.5;101;101
77;Daluitspoelingswaaier;4G21ydl;Veldpodzolgronden;Hn21;III;loofbos;17;-0.1;0.05729576;127;0;Greppel;29;B35A0023;3.95;1.2;;1075;82.5;285;100
78;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;grasland agrarisch;17;-0.1;0.05729576;257;0;Sloot;55;B35A0270;2.3;3.3;;1075;94.1;171;100
79;Grondmorenewelvingen;3L11H;Beekeerdgronden;pZg23;III;grasland agrarisch;17;-0.3;0.171886823;329;0;Sloot;100;B35A0779;2.6;0.37;;1075;37.3;37;37
80;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;Bebouwing;17;-0.3;0.171886823;151;0;Sloot;122;B35A0270;2.3;3.3;;1075;94.1;77;77
81;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;VI;Bebouwing;28;-0.5;0.28647651;204;0;Sloot;35;Arcadis - 074958718:0.1;3;1.8;;1075;66.8;191;100
82;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn22;III;bouwland;28;0.2;0.114591406;125;0;Greppel;51;Arcadis - 074958718:0.1;3;1.2;;1075;66.8;131;100
83;Dalvormige laagte;22R23;Beekeerdgronden;pZg23;III;grasland agrarisch;28;-0.1;0.05729576;192;0;Sloot;22;B35A0275;2.3;0.72;;1075;52.2;237;100
84;Grondmorenewelvingen;3L11H;Beekeerdgronden;pZg23;III;grasland agrarisch;47;-0.1;0.05729576;147;0;Greppel;74;B35A0779;2.6;0.2;;1075;37.3;50;50
85;Dalvormige laagte;22R23;Veldpodzolgronden;Hn21;V*;grasland agrarisch;47;-0.5;0.28647651;536;1;Sloot;88;B35A0799;1.5;1.8;;1075;50.9;58;58
86;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V*;grasland agrarisch;17;-1.3;0.744803178;255;0;Greppel;100;B35A0266;1.1;3.2;;1075;71.1;71;71
87;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V*;loofbos;17;-0.7;0.401063906;450;0;sloot;76;B35A0266;1.1;4.4;;1075;71.1;94;94
88;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V*;Bebouwing;17;-0.3;0.171886823;108;0;Greppel;45;B35A0266;1.1;3.2;;1075;71.1;158;100
89;Dalvormige laagte;22R23;Veldpodzolgronden;Hn21;V;Bebouwing;47;-0.1;0.05729576;67;0;Greppel;36;B35A0268;2.9;3.2;;1075;115.5;321;100
90;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;bouwland;1;-0.9;0.515648093;202;1;Sloot;153;B35A0797;1.4;1.8;;1075;49.1;32;32
91;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;III;Bebouwing;1;-1.1;0.630228156;48;1;Sloot;75;B35A1339;0.8;2.45;;1075;53.1;71;71
92;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;III;grasland agrarisch;1;-0.4;0.229181896;205;1;Sloot;201;B35A1339;0.8;2.45;;1075;53.1;26;26
93;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland overig;1;-0.7;0.401063906;200;1;Sloot;23;B35A0797;1.4;1.8;;1075;49.1;214;100
94;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland agrarisch;1;-0.4;0.229181896;160;0;Sloot;110;KG - 10007110;2.5;1.8;;1075;65.7;60;60
95;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;III;grasland agrarisch;1;-0.7;0.401063906;127;0;Greppel;56;B35A0259;1.2;1.2;;1075;45.5;81;81
96;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;Bebouwing;1;0;0;163;0;Greppel;113;B35A1240;0.8;1.2;;1075;37.1;33;33
97;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland agrarisch;1;-0.6;0.343770552;99;0;Greppel;88;B35A1240;0.8;1.2;;1075;37.1;42;42
98;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;Bebouwing;1;-0.6;0.343770552;244;0;Greppel;79;B35A1240;0.8;1.2;;1075;37.1;47;47
99;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX ;V;grasland agrarisch;1;-0.9;0.515648093;229;0;Greppel;93;B35A0259;1.2;1.2;;1075;45.5;49;49
100;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX ;V;grasland agrarisch;1;-1.1;0.630228156;221;0;Sloot;41;B35A0259;1.2;1.8;;1075;45.5;111;100
101;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX ;V;Bebouwing;1;-1.2;0.687516355;40;0;Greppel;40;B35A0157;0.8;1.2;;1075;37.1;93;93
102;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX ;V;grasland agrarisch;1;-1.2;0.687516355;135;0;Sloot;81;B35A0249;0.4;0.6;;1075;26.3;32;32
103;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX ;V;grasland agrarisch;1;-1;0.572938698;205;0;Sloot;37;B35A0249;0.4;0.6;;1075;26.3;71;71
104;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX ;V;loofbos;1;-1.1;0.630228156;103;0;Greppel;60;B35A0291;0.6;1.275;;1075;38.3;64;64
105;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX ;V;grasland overig;1;-0.6;0.343770552;158;0;Greppel;39;B35A0291;0.6;1.275;;1075;38.3;98;98
106;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;III;bouwland;1;-0.5;0.28647651;78;0;Sloot;65;B35A0805;0.55;0.825;;1075;30.8;47;47
107;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX ;V;bouwland;1;-1.2;0.687516355;150;0;Greppel;91;B35A0291;0.6;1.275;;1075;38.3;42;42
108;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;bouwland;1;-0.4;0.229181896;274;0;Greppel;74;B35A0289;0.85;3.2;;1075;62.5;84;84
109;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;bouwland;1;-0.5;0.28647651;272;0;Greppel;55;B35A0289;0.85;3.2;;1075;62.5;114;100
110;Grondmorenerug;10B13ydc;Hoge zwarte enkeerdgronden;zEZ23x;V*;bouwland;1;-0.5;0.28647651;270;0;Greppel;55;B35A1260;0.8;0.48;;1075;23.5;43;43
111;Grondmorenerug;10B13ydc;Hoge zwarte enkeerdgronden;zEZ23x;V*;Bebouwing;35;0;0;90;0;Greppel;54;B35A1260;0.8;0.48;;1075;23.5;44;44
112;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland agrarisch;35;-0.7;0.401063906;161;0;Greppel;44;B35A0284;0.5;0.75;;1075;29.4;67;67
113;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland agrarisch;35;-0.7;0.401063906;302;0;Greppel;48;B35A0284;0.5;0.75;;1075;29.4;61;61
114;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;bouwland;7;-0.7;0.401063906;321;0;Greppel;101;B35A0284;0.5;0.75;;1075;29.4;29;29
115;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;V;gemengd bos;5;-0.7;0.401063906;354;0;Greppel;117;B35A0285;0.1;0.01;;1075;0;0;0
116;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland agrarisch;5;-0.9;0.515648093;102;0;Greppel;61;B35A1232;0.55;0.825;;1075;30.8;50;50
117;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;Bebouwing;5;-0.9;0.515648093;38;0;Greppel;37;B35A1232;0.55;0.825;;1075;30.8;83;83
118;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;loofbos;5;-0.6;0.343770552;498;0;Greppel;50;B35A1232;0.55;0.825;;1075;30.8;62;62
119;Grondmorenerug;10B13ydc;Hoge zwarte enkeerdgronden;zEZ23x;V*;Bebouwing;5;0;0;161;0;Greppel;48;B35A0327;0.6;0.36;;1075;20.3;42;42
120;Grondmorenerug;10B13ydc;Hoge zwarte enkeerdgronden;zEZ23x;V*;grasland agrarisch;5;-0.2;0.114591406;228;0;Greppel;51;B35A0327;0.6;0.36;;1075;20.3;40;40
121;Grondmorenerug;10B13ydc;Hoge zwarte enkeerdgronden;zEZ23x;V*;Bebouwing;5;0;0;53;0;Greppel;42;B35A0327;0.6;0.36;;1075;20.3;48;48
122;Grondmorenerug;10B13ydc;Hoge zwarte enkeerdgronden;zEZ23x;V*;loofbos;5;-0.7;0.401063906;101;0;Greppel;40;B35A0327;0.6;0.36;;1075;20.3;51;51
123;Grondmorenerug;10B13ydc;Zeer ondiepe keileem, potklei, enz;KX;V;gemengd bos;5;-0.7;0.401063906;180;0;Greppel;38;B35A0285;0.1;0.01;;1075;0;0;0
124;Grondmorenerug;10B13ydc;Laarpodzolgronden;cHn23x;V*;grasland overig;38;-1;0.572938698;60;0;Greppel;20;B35A0331;1.5;1.11;;1075;41.9;210;100
125;Grondmorenerug;10B13ydc;Laarpodzolgronden;cHn23x;V*;bouwland;38;-1;0.572938698;92;0;Sloot;41;B35A0331;1.5;1.35;;1075;41.9;102;102
126;Grondmorenerug;10B13ydc;Laarpodzolgronden;cHn23x;V*;Bebouwing;38;-1;0.572938698;85;0;Sloot;26;B35A0331;1.5;1.35;;1075;41.9;161;100
127;Grondmorenerug;10B13ydc;Hoge zwarte enkeerdgronden;zEZ23x;V*;grasland agrarisch;38;-0.7;0.401063906;316;0;Greppel;71;B35A0327;0.6;0.36;;1075;20.3;29;29
128;Grondmorenerug;10B13ydc;Hoge zwarte enkeerdgronden;zEZ23x;V*;Bebouwing;38;-0.3;0.171886823;79;0;Greppel;35;B35A0327;0.6;0.36;;1075;20.3;58;58
129;Grondmorenerug;10B13ydc;Hoge zwarte enkeerdgronden;zEZ23x;V*;grasland agrarisch;38;0;0;86;0;Greppel;40;B35A0327;0.6;0.36;;1075;20.3;51;51
130;Grondmorenerug;10B13ydc;Hoge zwarte enkeerdgronden;zEZ23x;V*;grasland agrarisch;38;0.3;0.171886823;157;0;Greppel;12;B35A0327;0.6;0.36;;1075;20.3;170;100
